Идентификатор,Заголовок,Описание,"Дата публикации",Рейтинг,"Кол-во лайков","Кол-во комментариев","Название места","Адрес места","Локация места",Ссылка
51698,"Измени своё лицо: рецензия на фильм «Другой человек»","<p>Новинка с Берлинского кинофестиваля «Другой человек» ещё идёт в прокате и вполне успешно может шокировать неподготовленного зрителя. Возможно, что кого-то даже не меньше, чем <a href=""https://kudago.com/all/news/recenziya-na-film-substanciya/"" target=""_blank"" title=""Рецензия на фильм «Субстанция»"">«Субстанция»</a>. Аарон Шимберг продолжает препарировать вопросы красоты и уродства и снимает боди-хоррор на грани с драмой и чёрной сатирой. Каким получился этот морализаторский ужастик, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href=""https://kudago.com/spb/kino/"" target=""_blank"" title=""киноафиша ""><u>кино</u></a>.</p>",2024,10,13,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/retsenziya-na-film-drugoj/",,,,
51695,"В Петербурге началась закупка новогодних украшений для улиц","<p>Ель на Дворцовой будет живой.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-nachalas-zakupka/",,,,
51694,"В Ленобласти заметили необычных уток и беркута","<p>Им грозит вымирание.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-lenoblasti-zametili-neobyichnyih/",,,,
51692,"В заповеднике Ленобласти впервые за несколько лет заметили волчат","<p>Они попали в видеоловушку.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-zapovednike-v-lenoblasti/",,,,
51690,"У «Теории большого взрыва» появится спин-офф","<p>В нём расскажут о второстепенных персонажах шоу.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/u-teorii-bolshogo-vzryiva/",,,,
51693,"В Риме за посещение фонтана Треви будут брать плату","<p>Власти ограничат поток туристов к центральной достопримечательности. </p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-rime-za-poseschenie-fontana/",,,,
51691,"Tesla выпустит беспилотные такси","<p>Илон Маск хочет запустить производство уже через два года.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/tesla-vyipustit-bespilotnyie-taksi/",,,,
51689,"«Поющие мосты» вновь посвятят творчеству Андрея Петрова","<p>Композитор создал музыку ко многим популярным фильмам.</p>",2024,10,11,,,,,
0.5,0,1,,,,"https://kudago.com/spb/news/poyuschie-mostyi-vnov-posvyatyat/",,,,
51688,"Вышел ещё один трейлер «Конклава» с Рэйфом Файнсом","<p>Премьера в России в конце ноября.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/vyishel-eschyo-odin-trejler/",,,,
51685,"В Ленобласти назвали самые популярные и необычные имена детей","<p>В топе без изменений.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-lenoblasti-nazvali-samyie/",,,,
51679,"Британцы снимут спин-офф «Гордости и предубеждения»","<p>Он расскажет о младшей сестре  Элизабет Беннет.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/britantsyi-snimut-spin-off/",,,,
51678,"В России выпустили книгу о пет-френдли культуре","<p>Это сборник советов по организации удобного пространства для четвероногих.</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-rossii-vyipustili-knigu-o-pet-/",,,,
51683,"Северное сияние наблюдали по всей России","<p>В выходные ждут новую серию «небесного шоу».</p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/severnoe-siyanie-nablyudali-po/",,,,
51567,"«Мне даже сон снился, как я в красном платье поднимаюсь на сцену за Грэмми»: интервью с Baby Cute","<p>Восходящая звезда лейбла Gazgolder рассказала в интервью KudaGo, что считает своим главным достижением, как реагирует на критику в соцсетях и когда выйдет первый альбом. </p>",2024,10,11,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/intervyu-baby-cute/",,,,
51677,"«Просто я такой, и здравствуйте»: почему стоит посетить выставку «Виктор Цой. Легенда», даже если вы не его фанат","<p>С чем у вас ассоциируется Виктор Цой и какие чувства вызывает его музыка? Понять легенду и погрузиться в атмосферу его времени приглашает выставка-байопик, которая два года назад уже поразила жителей столицы, а теперь в обновлённом виде открылась на родине музыканта. Посетить экспозицию можно с 12 октября в «Севкабель Порту», а мы расскажем, чем она запомнилась нам и почему на ней понравится не только фанатам музыки «Кино».</p>",2024,10,11,,,,,
0.5,0,0,"общественное пространство «Севкабель Порт»","Кожевенная линия, д. 40",spb,"https://kudago.com/spb/news/pochemu-stoit-posetit-vystavku-viktor-coj-legenda/",,,,
51676,"Составили рейтинг лучших хорроров всех времён","<p>В топ-10 — только картины ХХ века.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/luchshie-horrory-vseh-vremyon/",,,,
51674,"Статуя лисёнка из посёлка Лисий Нос вернулась на своё место","<p>Она была на реставрации.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/statuya-lisenka-iz-poselka-lisij/",,,,
51673,"ВКонтакте отмечает 18-летие","<p>Соцсеть поздравила пользователей, которым тоже исполнилось 18 в этот день.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/vkontakte-otmechaet-18-letie/",,,,
51672,"Эрмитаж рассказал о планах на 2025 год","<p>В следующем году музей проведёт больше 30 выставок.</p>",2024,10,10,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/ermitazh-rasskazal-o-planah-na/",,,,
